feature,importance_mean,importance_std
categorical__final_approval_role_DIRECTOR,-0.0003036913172700828,0.0011288034965292318
numeric__payment_age_calendar_days,-0.00034197315098866143,0.0010259194529659845
numeric__scope_bank_count,-0.00035937378904129515,0.0007187475780825903
categorical__final_approval_role___MISSING__,-0.0006451143395639347,0.0008108054608580135
categorical__bank_transaction_type_ACH_DEBIT,-0.0007187475780825903,0.0008802824100817781
numeric__invoice_age_calendar_days,-0.0007310535527929706,0.001175344451637017
numeric__po_age_calendar_days,-0.0008344369735955537,0.0018751448466763217
categorical__invoice_department_OPERATIONS,-0.0019205790203909111,0.0018252422645507395
numeric__invoice_po_total_abs_diff,-0.0019830590589331233,0.001065140579691175
numeric__po_tax,-0.0022817565186751044,0.001339018981524065
